SFmax_5721442,TXmin_GK48617,RHmax_GK48617,RFmax_6022062,RFmax_6122064,RFmax_KB48615,RFmax_6021010,RFmax_6120014,RFmax_6121001,RFd50mm_5920012,RHd10p_GK48617,RFd95p_6022001,RHd90p_KB48615,TXd90p_GK48617,TNd90p_GK48617,Cases
0.006890667,0.716981132,0.840336134,0.390400605,0.666666667,0.227642276,0.04822566,0.019354839,0.004591368,0,0,0,0,0,0,Low
0.006059035,0.735849057,0.911764706,0.017384732,0.069748581,0.049519586,0.040764331,0.053456221,0.261707989,0,0,0,0,0,0,Low
0.007965309,0.716981132,0.760504202,0.075774754,0.064882401,0.040650407,0.006369427,0.534009217,0.052035507,0,0,0.2,0,0,0,Low
0.019883571,0.537735849,0.861344538,0.130952381,0.362124899,0.070214339,0.038762511,0.023778802,0.285277013,0,0,0,0,0,0,Low
0.009774379,0.669811321,0.878151261,0.029289494,0.089618816,0.091648189,0.06132848,0.129953917,0.434649526,0,0,0,0,0,0,Low
0.005340807,0.679245283,0.857142857,0.196712018,0.236415247,0.10421286,0.009099181,0.172165899,0.08815427,0,0,0,0,0,0,Low
0.009007549,0.783018868,0.840336134,0.225056689,0.472830495,0.077605322,0.079344859,0.045529954,0.093357821,0,0,0,0,0,0,Low
0.013100908,0.735849057,0.886554622,0.048941799,0.172343877,0.048780488,0.001819836,0.258064516,0.019283747,0,0,0,0,0,0,Low
0.007252481,0.528301887,0.74789916,0.108843537,0.095296026,0.206947524,0.017652411,0.170506912,0.220079584,0,0,0,0,0,0,Low
0.018517318,0.641509434,0.647058824,0.01606198,0.003649635,0.090169993,0.01255687,0,0.002142639,0,0,0,0.428571429,0.142857143,0,Low
0.008921146,0.688679245,0.609243697,0.211451247,0.269667478,0.0436068,0.008189263,0,0.030609122,0,0,0.2,0.285714286,0,0,Low
0.007252481,0.669811321,0.495798319,0.000944822,0.002838605,0.096082779,0.093903549,0,0.000918274,0.142857143,0,1,0.285714286,0,0,High
0.03814168,0.669811321,0.928571429,0.002078609,0.002027575,0.035476718,0.10100091,0,0.186715641,0.285714286,0,0.4,0.428571429,0.142857143,0.142857143,Low
0.247993822,0.688679245,0.705882353,0,0,0.060606061,0.535577798,0,0.239975513,0.428571429,0,0.4,0,0,0.142857143,Low
0.151567681,0.716981132,0.827731092,0.12414966,0.272506083,0.070214339,0.230755232,0,0.069482706,0.285714286,0.142857143,0,0.285714286,0.142857143,0.285714286,Low
0.038514294,0.669811321,0.567226891,0.003212396,0.156123277,0.001478197,0.021838035,0,0.001530456,0,0,0,0.428571429,0,0.142857143,Low
0.018349912,0.716981132,0.575630252,0.042517007,0.087591241,0.436067997,0.033303003,0.102857143,0.186715641,0,0,0.2,0,0.142857143,0,Low
0.023048094,0.679245283,0.735294118,0,0.054744526,0.651884701,0.102456779,0.017880184,0.018671564,0.142857143,0,0,0.571428571,0,0,Low
0.011750856,0.688679245,0.802521008,0.151360544,0.260746148,0.164079823,0.000909918,0.033179724,0.148760331,0,0,0,1,0,0.571428571,Low
0.01339252,0.688679245,0.617647059,0.070672714,0.036901865,0.610495196,0.007461328,0,0.001224365,0,0,0.2,0.142857143,0,0.285714286,Low
0.061821599,0.650943396,0.415966387,0.073696145,0.158150852,0.113821138,0.238216561,0.075760369,0.093357821,0.142857143,0,0.2,0.571428571,0.285714286,0,Low
0.028572509,0.5,0.634453782,0.015117158,0.0405515,0.119733925,0.003275705,0.033364055,0.030609122,0,0,0.4,0.142857143,0.142857143,0,Low
0.357645077,0.58490566,0.537815126,0.203703704,0.231143552,0.084996305,0.279162875,0.037788018,0.143862871,0.428571429,0,0,0,0.285714286,0,Low
0.044152113,0.169811321,0.466386555,0.05952381,0.104622871,0.002217295,0.020018198,0,0.013774105,0,0.142857143,0,0.142857143,0.142857143,0.142857143,Low
0.024824763,0.235849057,0.420168067,0.138888889,0.152068127,0,0.040946315,0,0.11325375,0,0,0,0,0,0,Low
0.02242167,0.396226415,0.609243697,0.005668934,0.00405515,0.036954915,0,0,0.111723294,0,0,0,0,0.428571429,0,Low
0.00644785,0.537735849,0.663865546,0.057634165,0.328467153,0.249815225,0,0,0.160697888,0,0.285714286,0,0,0,0,Low
0.011713054,0.688679245,0.420168067,0.010770975,0.155717762,0.33037694,0,0,0.022956841,0,0,0,0.142857143,0,0,Low
0.008197518,0.339622642,0.256302521,0.017006803,0.064882401,0.033998522,0.018198362,0,0.018365473,0,0,0,0.571428571,0,0,Low
0.007452289,0.29245283,0.331932773,0.027399849,0.081103001,0.101256467,0.027297543,0,0,0,0,0,0,0,0,Low
0.008359524,0.566037736,0.487394958,0.004724112,0.01216545,0,0.005459509,0.02764977,0.060606061,0,0.142857143,0,0,0,0,Low
0.019516357,0.226415094,0.537815126,0.001889645,0.00405515,0,0.082620564,0,0.062748699,0,0,0,0,0,0,Low
0.018954735,0.235849057,0.420168067,0.014172336,0.062854826,0.03473762,0.051865332,0.013824885,0.015304561,0.142857143,0,0,0,0,0,Low
0.018717126,0.264150943,0.478991597,0.017762661,0.032035685,0.26977088,0.090991811,0,0.018365473,0.142857143,0,0,0,0,0,Low
0.0180367,0.094339623,0.390756303,0.012282691,0.018248175,0.016260163,0.003275705,0,0.003060912,0,0.142857143,0,0.714285714,0,0,Low
0.015142188,0.443396226,0.289915966,0.054799698,0.056772101,0,0.010373066,0.003870968,0.172941537,0,0,0,0.142857143,0.142857143,0,Low
0.026342222,0.367924528,0.31092437,0.01984127,0.034468775,0.086474501,0.098271156,0,0.102846648,0.142857143,0,0,0,0,0,Low
0.010244197,0.188679245,0.428571429,0.047619048,0.087185726,0.057649667,0.017288444,0.014746544,0.140801959,0,0,0,0,0,0,Low
0.001614663,0.452830189,0.378151261,0.081254724,0.107461476,0.009608278,0,0.010138249,0.139271503,0,0,0,0.142857143,0,0,Low
0.002764907,0.556603774,0.5,0.038359788,0.102189781,0.104951959,0.013648772,0.089032258,0.024487297,0,0,0.2,0,0,0,Low
0.004806186,0.20754717,0.462184874,0.078420257,0.123682076,0.03917221,0.036942675,0,0.041322314,0,0.142857143,0,0,0,0.142857143,Low
0.013009105,0.226415094,0.533613445,0.024754346,0.01865369,0.079822616,0.027297543,0,0.074992348,0,0,0,0,0,0,Low
0.006285844,0.075471698,0.491596639,0.086923658,0.125709651,0.016260163,0.017288444,0,0.102540557,0,0,0,0,0,0,Low
0.006550454,0.537735849,0.634453782,0.069916856,0.02838605,0.130081301,0.151956324,0,0.059687787,0,0,0,0,0,0,Low
0.010471006,0.641509434,0.470588235,0.065192744,0.066909976,0.037694013,0.01455869,0,0.047444138,0,0,0,0,0,0,Low
0.018506518,0.688679245,0.823529412,0.015684051,0.044201135,0.133037694,0.076615105,0.000921659,0.090296908,0.285714286,0,0.2,0,0,0,Low
