WLmean_5721442,SFmean_5721442,RFmean_5920012,SFmax_5721442,RHmean_GK48617,TXmin_GK48617,RFmean_6023001,RHmax_GK48617,RFmax_6022062,RFmean_5922001,RFmax_6021010,RFmax_KB48615,RFmean_6021010,RFmax_6122064,RFmax_6121001,RFmax_6120014,RFd5p.d95p_5921009,RFd50mm_5920012,RFd5p.d95p_6022001,RFd1mm.d50mm_6120014,RFd1mm.d50mm_6021013,RFd5p.d95p_6121067,TMd10p.d90p_KB48615,TXd10p.d90p_KB48615,RFd5p.d95p_KB48615,RHd10p_GK48617,RFd5p.d95p_6121015,RFd5p.d95p_6122064,RHd10p.d90p_KB48615,TMd10p.d90p_GK4861,TNd10p.d90p_GK48617,RFd1mm.d50mm_6121001,RFd1mm.d50mm_6021060,RFd1mm.d50mm_6022062,RFd95p_6022001,RHd90p_KB48615,TNd23_KB48615,TNd90p_KB48615,TNd23.d34_KB48615,TNd10p_GK48617,TXd23.d34_GK48617,RHd10p_KB48615,TXd90p_GK48617,TNd90p_GK48617,Cases
0.12973344,0.018257502,0.052881703,0.022238063,0.62400975,0.613207547,0,0.588235294,0,0.023228804,0.153230209,0.021433851,0.169386746,0,0.126721763,0.000921659,0.857142857,0.142857143,0.571428571,0.285714286,0,0.428571429,1,1,0.428571429,0,0.285714286,0.857142857,1,1,1,0.714285714,0.857142857,1,0,0.142857143,0,0,1,0,1,0,0,0,Low
0.169545819,0.02772252,0.003680753,0.023166899,0.421084704,0.188679245,0.218680504,0.386554622,0.000944822,0.092915215,0.025477707,0.187730968,0.023986152,0.068937551,0.145699418,0.006451613,0.428571429,0,0.714285714,0.571428571,0.142857143,0.285714286,0.857142857,0.857142857,0.285714286,0,0.142857143,0.142857143,0.857142857,1,1,0.142857143,0.285714286,0.142857143,0,0,0,0,1,0,1,0.142857143,0,0,Low
0.130305457,0.017925955,0.010063831,0.017923295,0.335770871,0.226415094,0.082134915,0.424369748,0.038737717,0.087882307,0.041856233,0.016999261,0.045252226,0.105433901,0.005509642,0.047926267,0.571428571,0,0.428571429,0.285714286,0.142857143,0.714285714,1,1,0.571428571,0,0.428571429,0.571428571,1,1,0.714285714,0.142857143,0.285714286,0.428571429,0,0,0,0.142857143,1,0,1,0,0,0,Low
0.102391031,0.012204705,0.03168243,0.008796941,0.479585618,0.29245283,0.057079318,0.596638655,0.026455026,0.004387663,0.063694268,0,0.085929773,0.0243309,0.00765228,0.010138249,0.571428571,0.142857143,0.714285714,0,0.142857143,0.571428571,0.857142857,0.857142857,0.714285714,0,0.857142857,0.285714286,1,1,0.857142857,0.142857143,0.428571429,0.142857143,0,0,0,0,1,0,1,0,0,0,Low
0.111314495,0.013894297,0.011182034,0.011939863,0.651432054,0.613207547,0.010378058,0.676470588,0.010770975,0.038714673,0.051865332,0.000739098,0.037710188,0.023114355,0.094888277,0.05437788,0.857142857,0,0.285714286,0.285714286,0.142857143,0.714285714,1,1,0.857142857,0,0.142857143,1,1,0.857142857,0.571428571,0.714285714,0.428571429,0.428571429,0,0,0,0,1,0,1,0,0,0,Low
0.162338405,0.026770355,0.040068956,0.023782523,0.592321755,0.254716981,0.122312824,0.550420168,0.024565382,0.071622145,0.091537762,0.237250554,0.080365974,0.00405515,0.140189777,0.079262673,0.571428571,0.142857143,0.857142857,0.285714286,0.428571429,0.571428571,0.857142857,1,0.571428571,0,0.285714286,0.571428571,1,1,1,0.571428571,0.285714286,0.428571429,0,0,0,0,1,0,1,0,0,0,Low
0.131563894,0.018315317,0.00489214,0.016729849,0.576477757,0.283018868,0.079614529,0.56302521,0.07898715,0.143889534,0.010919017,0.235033259,0.009272997,0.105028386,0.071931436,0.00202765,0.571428571,0,0.428571429,0.142857143,0.285714286,0.142857143,1,1,0.428571429,0,0.714285714,0.857142857,1,1,1,0.571428571,0.571428571,0.428571429,0,0.285714286,0,0,1,0,1,0,0,0,Low
0.153414941,0.023510339,0.038904161,0.023355906,0.61182206,0.471698113,0.031430689,0.663865546,0.090702948,0.010323913,0.080072793,0.011825573,0.074802176,0.141930251,0.001530456,0.008294931,0.428571429,0,0.714285714,0,0.428571429,0.142857143,1,1,0.428571429,0,0.857142857,0.428571429,1,1,1,0,0.285714286,0.428571429,0,0,0,0,1,0,1,0,0,0,Low
0.149182016,0.022519238,0.038764385,0.019100541,0.594759293,0.226415094,0.011860638,0.655462185,0.01606198,0.016131114,0.067151956,0.112342942,0.143793274,0.062854826,0.089684726,0.082211982,0.714285714,0,0.571428571,0,0.142857143,0.571428571,1,1,0.285714286,0,0.714285714,0.428571429,1,1,1,0.285714286,0.428571429,0.285714286,0,0,0,0,1,0,1,0,0,0,Low
0.169317012,0.028879985,0.019009458,0.031629027,0.635588056,0.103773585,0.259451446,0.609243697,0.027399849,0.027745516,0.117379436,0.206947524,0.128832839,0.0162206,0.136210591,0.036313364,0.428571429,0,0.428571429,0,0.571428571,0.714285714,1,1,0.857142857,0,0.285714286,0.571428571,1,1,0.714285714,0.714285714,0.714285714,0.714285714,0,0,0,0,1,0.285714286,1,0,0,0,Low
0.139915342,0.019947094,0.022597027,0.014785774,0.634369287,0.273584906,0.110452187,0.605042017,0.010393046,0,0.073339399,0.181079084,0.06367458,0.018248175,0.097030915,0.0359447,0.142857143,0,0.857142857,0,0.428571429,1,1,1,0.714285714,0,0.142857143,0.714285714,1,1,0.428571429,0.714285714,0.571428571,0.428571429,0,0,0.142857143,0,0.857142857,0.571428571,1,0,0,0,Low
